Top_K,Feature,Selection_Count,Selection_Frequency
5,cp,25,1.0
5,ca,25,1.0
5,age,20,0.8
5,thal,25,1.0
5,oldpeak,25,1.0
5,thalach,4,0.16
5,exang,1,0.04
8,exang,23,0.92
8,trestbps,19,0.76
8,cp,25,1.0
8,ca,25,1.0
8,thalach,25,1.0
8,age,25,1.0
8,thal,25,1.0
8,oldpeak,25,1.0
8,chol,7,0.28
8,slope,1,0.04
10,exang,25,1.0
10,trestbps,25,1.0
10,cp,25,1.0
10,ca,25,1.0
10,thalach,25,1.0
10,age,25,1.0
10,slope,25,1.0
10,thal,25,1.0
10,oldpeak,25,1.0
10,chol,25,1.0
13,exang,25,1.0
13,sex,25,1.0
13,fbs,25,1.0
13,trestbps,25,1.0
13,restecg,25,1.0
13,cp,25,1.0
13,ca,25,1.0
13,thalach,25,1.0
13,age,25,1.0
13,slope,25,1.0
13,thal,25,1.0
13,oldpeak,25,1.0
13,chol,25,1.0
