Method,Top-K,Model,Accuracy,F1 Score,ROC-AUC
ANOVA,5,LR,1.0,1.0,1.0
ANOVA,5,RF,1.0,1.0,1.0
ANOVA,5,XGB,0.96875,0.9411764705882353,1.0
ANOVA,10,LR,1.0,1.0,1.0
ANOVA,10,RF,1.0,1.0,1.0
ANOVA,10,XGB,0.96875,0.9411764705882353,1.0
ANOVA,15,LR,1.0,1.0,1.0
ANOVA,15,RF,1.0,1.0,1.0
ANOVA,15,XGB,0.96875,0.9411764705882353,1.0
ANOVA,20,LR,1.0,1.0,1.0
ANOVA,20,RF,1.0,1.0,1.0
ANOVA,20,XGB,0.96875,0.9411764705882353,1.0
ANOVA + Rank Fusion,5,LR,1.0,1.0,1.0
ANOVA + Rank Fusion,5,RF,0.96875,0.9411764705882353,1.0
ANOVA + Rank Fusion,5,XGB,0.96875,0.9411764705882353,1.0
ANOVA + Rank Fusion,10,LR,1.0,1.0,1.0
ANOVA + Rank Fusion,10,RF,0.96875,0.9411764705882353,1.0
ANOVA + Rank Fusion,10,XGB,0.96875,0.9411764705882353,1.0
ANOVA + Rank Fusion,15,LR,1.0,1.0,1.0
ANOVA + Rank Fusion,15,RF,1.0,1.0,1.0
ANOVA + Rank Fusion,15,XGB,0.96875,0.9411764705882353,1.0
ANOVA + Rank Fusion,20,LR,1.0,1.0,1.0
ANOVA + Rank Fusion,20,RF,1.0,1.0,1.0
ANOVA + Rank Fusion,20,XGB,0.96875,0.9411764705882353,1.0
